Country/territory of asylum/residence,Origin,"Country/territory of asylum (earlier) (only applicable for returned refugees)",Type of population,Population,of whom assisted by UNHCR
Israel,Eritrea,,Total Refugee and people in refugee-like situations,27494,0
Israel,Eritrea,,People in refugee-like situations,27259,0
Israel,Eritrea,,Asylum-seekers,3567,0
Israel,Eritrea,,Total population of concern,31061,0
Israel,Ethiopia,,Total Refugee and people in refugee-like situations,92,0
Israel,Ethiopia,,Asylum-seekers,829,0
Israel,Ethiopia,,Total population of concern,921,0
Israel,Georgia,,Asylum-seekers,3907,0
Israel,Georgia,,Total population of concern,3907,0
Israel,Ghana,,Asylum-seekers,387,0
Israel,Ghana,,Total population of concern,387,0
Israel,Greece,,Asylum-seekers,0,0
Israel,Greece,,Total population of concern,0,0
Israel,Guinea,,Asylum-seekers,32,0
Israel,Guinea,,Total population of concern,32,0
Israel,Guinea-Bissau,,Asylum-seekers,0,0
Israel,Guinea-Bissau,,Total population of concern,0,0
Israel,Hungary,,Asylum-seekers,0,0
Israel,Hungary,,Total population of concern,0,0
Israel,India,,Asylum-seekers,292,0
Israel,India,,Total population of concern,292,0
Israel,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,6,0
Israel,Iran (Islamic Rep. of),,Asylum-seekers,0,0
Israel,Iran (Islamic Rep. of),,Total population of concern,10,0
Israel,Iraq,,Total Refugee and people in refugee-like situations,10,0
Israel,Iraq,,Total population of concern,10,0
Israel,Jordan,,Asylum-seekers,0,0
Israel,Jordan,,Total population of concern,0,0
Israel,Kazakhstan,,Asylum-seekers,11,0
Israel,Kazakhstan,,Total population of concern,11,0
Israel,Kenya,,Asylum-seekers,36,0
Israel,Kenya,,Total population of concern,36,0
Israel,Kyrgyzstan,,Asylum-seekers,7,0
Israel,Kyrgyzstan,,Total population of concern,7,0
Israel,Lebanon,,Total Refugee and people in refugee-like situations,0,0
Israel,Lebanon,,Total population of concern,0,0
Israel,Lesotho,,Asylum-seekers,0,0
Israel,Lesotho,,Total population of concern,0,0
Israel,Liberia,,Total Refugee and people in refugee-like situations,0,0
Israel,Liberia,,Asylum-seekers,0,0
Israel,Liberia,,Total population of concern,0,0
Israel,Libya,,Asylum-seekers,0,0
Israel,Libya,,Total population of concern,0,0
Israel,Malawi,,Asylum-seekers,0,0
Israel,Malawi,,Total population of concern,0,0
Israel,Mali,,Asylum-seekers,11,0
Israel,Mali,,Total population of concern,11,0
Israel,Mauritania,,Total Refugee and people in refugee-like situations,0,0
Israel,Mauritania,,Total population of concern,0,0
Israel,Mongolia,,Asylum-seekers,49,0
Israel,Mongolia,,Total population of concern,49,0
Israel,Myanmar,,Total Refugee and people in refugee-like situations,0,0
Israel,Myanmar,,Asylum-seekers,46,0
Israel,Myanmar,,Total population of concern,47,0
Israel,Nepal,,Total Refugee and people in refugee-like situations,0,0
Israel,Nepal,,Asylum-seekers,6,0
Israel,Nepal,,Total population of concern,7,0
Israel,Niger,,Total Refugee and people in refugee-like situations,0,0
Israel,Niger,,Asylum-seekers,0,0
Israel,Niger,,Total population of concern,0,0
Israel,Nigeria,,Total Refugee and people in refugee-like situations,0,0
Israel,Nigeria,,Asylum-seekers,630,0
Israel,Nigeria,,Total population of concern,634,0
Israel,Philippines,,Asylum-seekers,0,0
Israel,Philippines,,Total population of concern,0,0
Israel,Portugal,,Asylum-seekers,0,0
Israel,Portugal,,Total population of concern,0,0
Israel,Rep. of Moldova,,Asylum-seekers,409,0
Israel,Rep. of Moldova,,Total population of concern,409,0
Israel,Romania,,Asylum-seekers,31,0
Israel,Romania,,Total population of concern,31,0
Israel,Russian Federation,,Asylum-seekers,701,0
Israel,Russian Federation,,Total population of concern,701,0
Israel,Rwanda,,Total Refugee and people in refugee-like situations,0,0
Israel,Rwanda,,Asylum-seekers,0,0
Israel,Rwanda,,Total population of concern,0,0
Israel,Sierra Leone,,Total Refugee and people in refugee-like situations,0,0
Israel,Sierra Leone,,Asylum-seekers,24,0
Israel,Sierra Leone,,Total population of concern,27,0
Israel,Somalia,,Asylum-seekers,12,0
Israel,Somalia,,Total population of concern,12,0
Israel,South Africa,,Asylum-seekers,206,0
Israel,South Africa,,Total population of concern,206,0
Israel,South Sudan,,Total Refugee and people in refugee-like situations,127,0
Israel,South Sudan,,People in refugee-like situations,68,0
Israel,South Sudan,,Asylum-seekers,96,0
Israel,South Sudan,,Total population of concern,223,0
Israel,Sri Lanka,,Asylum-seekers,300,0
Israel,Sri Lanka,,Total population of concern,300,0
Israel,Stateless,,Persons under UNHCR's statelessness mandate,42,0
Israel,Stateless,,Total population of concern,42,0
Israel,Sudan,,Total Refugee and people in refugee-like situations,7869,0
Israel,Sudan,,People in refugee-like situations,7808,0
Israel,Sudan,,Asylum-seekers,3870,0
Israel,Sudan,,Total population of concern,11739,0
Israel,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
Israel,Syrian Arab Rep.,,Total population of concern,0,0
Israel,Thailand,,Asylum-seekers,0,0
Israel,Thailand,,Total population of concern,0,0
Israel,Turkey,,Total Refugee and people in refugee-like situations,0,0
Israel,Turkey,,Asylum-seekers,36,0
Israel,Turkey,,Total population of concern,38,0
Israel,Uganda,,Asylum-seekers,9,0
Israel,Uganda,,Total population of concern,9,0
Israel,Ukraine,,Asylum-seekers,11601,0
Israel,Ukraine,,Total population of concern,11601,0
Israel,United States of America,,Asylum-seekers,0,0
Israel,United States of America,,Total population of concern,0,0
Israel,Uzbekistan,,Asylum-seekers,117,0
Israel,Uzbekistan,,Total population of concern,117,0
Israel,Various,,Total Refugee and people in refugee-like situations,7,0
Israel,Various,,Asylum-seekers,50,0
Israel,Various,,Total population of concern,57,0
Israel,Venezuela (Bolivarian Republic of),,Asylum-seekers,0,0
Israel,Venezuela (Bolivarian Republic of),,Total population of concern,0,0
Israel,Viet Nam,,Asylum-seekers,0,0
Israel,Viet Nam,,Total population of concern,0,0
Israel,Zimbabwe,,Total Refugee and people in refugee-like situations,0,0
Israel,Zimbabwe,,Total population of concern,0,0
Italy,Afghanistan,,Total Refugee and people in refugee-like situations,16814,0
Italy,Afghanistan,,Asylum-seekers,1635,0
Italy,Afghanistan,,Total population of concern,18449,0
Italy,Albania,,Total Refugee and people in refugee-like situations,482,0
Italy,Albania,,Asylum-seekers,569,0
Italy,Albania,,Total population of concern,1051,0
Italy,Algeria,,Total Refugee and people in refugee-like situations,170,0
Italy,Algeria,,Asylum-seekers,118,0
Italy,Algeria,,Total population of concern,288,0
Italy,Angola,,Total Refugee and people in refugee-like situations,40,0
Italy,Angola,,Asylum-seekers,8,0
Italy,Angola,,Total population of concern,48,0
Italy,Argentina,,Asylum-seekers,5,0
Italy,Argentina,,Total population of concern,5,0
Italy,Armenia,,Total Refugee and people in refugee-like situations,288,0
Italy,Armenia,,Asylum-seekers,137,0
Italy,Armenia,,Total population of concern,425,0
Italy,Australia,,Total Refugee and people in refugee-like situations,0,0
Italy,Australia,,Total population of concern,0,0
Italy,Azerbaijan,,Total Refugee and people in refugee-like situations,70,0
Italy,Azerbaijan,,Asylum-seekers,7,0
Italy,Azerbaijan,,Total population of concern,77,0
Italy,Bahamas,,Total Refugee and people in refugee-like situations,0,0
Italy,Bahamas,,Asylum-seekers,0,0
Italy,Bahamas,,Total population of concern,0,0
Italy,Bahrain,,Total Refugee and people in refugee-like situations,0,0
Italy,Bahrain,,Asylum-seekers,0,0
Italy,Bahrain,,Total population of concern,5,0
Italy,Bangladesh,,Total Refugee and people in refugee-like situations,4742,0
Italy,Bangladesh,,Asylum-seekers,10322,0
Italy,Bangladesh,,Total population of concern,15064,0
Italy,Belarus,,Total Refugee and people in refugee-like situations,36,0
Italy,Belarus,,Asylum-seekers,9,0
Italy,Belarus,,Total population of concern,45,0
Italy,Benin,,Total Refugee and people in refugee-like situations,204,0
Italy,Benin,,Asylum-seekers,211,0
Italy,Benin,,Total population of concern,415,0
Italy,Bhutan,,Total Refugee and people in refugee-like situations,0,0
Italy,Bhutan,,Asylum-seekers,0,0
Italy,Bhutan,,Total population of concern,0,0
Italy,Bolivia (Plurinational State of),,Total Refugee and people in refugee-like situations,13,0
Italy,Bolivia (Plurinational State of),,Asylum-seekers,9,0
Italy,Bolivia (Plurinational State of),,Total population of concern,22,0
Italy,Bosnia and Herzegovina,,Total Refugee and people in refugee-like situations,575,0
Italy,Bosnia and Herzegovina,,Asylum-seekers,158,0
Italy,Bosnia and Herzegovina,,Total population of concern,733,0
Italy,Botswana,,Total Refugee and people in refugee-like situations,0,0
Italy,Botswana,,Asylum-seekers,0,0
Italy,Botswana,,Total population of concern,0,0
Italy,Brazil,,Total Refugee and people in refugee-like situations,79,0
Italy,Brazil,,Asylum-seekers,87,0
Italy,Brazil,,Total population of concern,166,0
Italy,Burkina Faso,,Total Refugee and people in refugee-like situations,963,0
Italy,Burkina Faso,,Asylum-seekers,911,0
Italy,Burkina Faso,,Total population of concern,1874,0
Italy,Burundi,,Total Refugee and people in refugee-like situations,19,0
Italy,Burundi,,Asylum-seekers,13,0
Italy,Burundi,,Total population of concern,32,0
Italy,Cabo Verde,,Total Refugee and people in refugee-like situations,0,0
Italy,Cabo Verde,,Asylum-seekers,0,0
Italy,Cabo Verde,,Total population of concern,0,0
Italy,Cambodia,,Total Refugee and people in refugee-like situations,0,0
Italy,Cambodia,,Total population of concern,0,0
Italy,Cameroon,,Total Refugee and people in refugee-like situations,1176,0
Italy,Cameroon,,Asylum-seekers,1924,0
Italy,Cameroon,,Total population of concern,3100,0
Italy,Canada,,Total Refugee and people in refugee-like situations,0,0
Italy,Canada,,Asylum-seekers,0,0
Italy,Canada,,Total population of concern,0,0
Italy,Central African Rep.,,Total Refugee and people in refugee-like situations,82,0
Italy,Central African Rep.,,Asylum-seekers,57,0
Italy,Central African Rep.,,Total population of concern,139,0
Italy,Chad,,Total Refugee and people in refugee-like situations,436,0
Italy,Chad,,Asylum-seekers,109,0
Italy,Chad,,Total population of concern,545,0
Italy,Chile,,Total Refugee and people in refugee-like situations,9,0
Italy,Chile,,Asylum-seekers,0,0
Italy,Chile,,Total population of concern,11,0
Italy,China,,Total Refugee and people in refugee-like situations,160,0
Italy,China,,Asylum-seekers,882,0
Italy,China,,Total population of concern,1042,0
Italy,Colombia,,Total Refugee and people in refugee-like situations,352,0
Italy,Colombia,,Asylum-seekers,136,0
Italy,Colombia,,Total population of concern,488,0
Italy,Comoros,,Total Refugee and people in refugee-like situations,0,0
Italy,Comoros,,Asylum-seekers,21,0
Italy,Comoros,,Total population of concern,22,0
Italy,"Congo, Republic of",,Total Refugee and people in refugee-like situations,444,0
Italy,"Congo, Republic of",,Asylum-seekers,102,0
Italy,"Congo, Republic of",,Total population of concern,546,0
Italy,Costa Rica,,Total Refugee and people in refugee-like situations,0,0
Italy,Costa Rica,,Asylum-seekers,0,0
Italy,Costa Rica,,Total population of concern,6,0
Italy,Côte d'Ivoire,,Total Refugee and people in refugee-like situations,6114,0
Italy,Côte d'Ivoire,,Asylum-seekers,8290,0
Italy,Côte d'Ivoire,,Total population of concern,14404,0
Italy,Croatia,,Total Refugee and people in refugee-like situations,18,0
Italy,Croatia,,Total population of concern,18,0
Italy,Cuba,,Total Refugee and people in refugee-like situations,181,0
Italy,Cuba,,Asylum-seekers,81,0
Italy,Cuba,,Total population of concern,262,0
Italy,Dem. Rep. of the Congo,,Total Refugee and people in refugee-like situations,535,0
Italy,Dem. Rep. of the Congo,,Asylum-seekers,111,0
Italy,Dem. Rep. of the Congo,,Total population of concern,646,0
Italy,Djibouti,,Total Refugee and people in refugee-like situations,0,0
Italy,Djibouti,,Asylum-seekers,0,0
Italy,Djibouti,,Total population of concern,0,0
Italy,Dominica,,Total Refugee and people in refugee-like situations,0,0
Italy,Dominica,,Total population of concern,0,0
Italy,Dominican Rep.,,Total Refugee and people in refugee-like situations,12,0
Italy,Dominican Rep.,,Asylum-seekers,13,0
Italy,Dominican Rep.,,Total population of concern,25,0
Italy,Ecuador,,Total Refugee and people in refugee-like situations,29,0
Italy,Ecuador,,Asylum-seekers,12,0
Italy,Ecuador,,Total population of concern,41,0
Italy,Egypt,,Total Refugee and people in refugee-like situations,1803,0
Italy,Egypt,,Asylum-seekers,910,0
Italy,Egypt,,Total population of concern,2713,0
Italy,El Salvador,,Total Refugee and people in refugee-like situations,412,0
Italy,El Salvador,,Asylum-seekers,1554,0
Italy,El Salvador,,Total population of concern,1966,0
Italy,Equatorial Guinea,,Total Refugee and people in refugee-like situations,15,0
Italy,Equatorial Guinea,,Asylum-seekers,10,0
Italy,Equatorial Guinea,,Total population of concern,25,0
Italy,Eritrea,,Total Refugee and people in refugee-like situations,9035,0
Italy,Eritrea,,Asylum-seekers,9856,0
Italy,Eritrea,,Total population of concern,18891,0
Italy,Ethiopia,,Total Refugee and people in refugee-like situations,1427,0
Italy,Ethiopia,,Asylum-seekers,310,0
Italy,Ethiopia,,Total population of concern,1737,0
Italy,Fiji,,Asylum-seekers,0,0
Italy,Fiji,,Total population of concern,0,0
Italy,Gabon,,Total Refugee and people in refugee-like situations,28,0
Italy,Gabon,,Asylum-seekers,25,0
Italy,Gabon,,Total population of concern,53,0
Italy,Gambia,,Total Refugee and people in refugee-like situations,8966,0
Italy,Gambia,,Asylum-seekers,8624,0
Italy,Gambia,,Total population of concern,17590,0
Italy,Georgia,,Total Refugee and people in refugee-like situations,283,0
Italy,Georgia,,Asylum-seekers,342,0
Italy,Georgia,,Total population of concern,625,0
Italy,Ghana,,Total Refugee and people in refugee-like situations,4321,0
Italy,Ghana,,Asylum-seekers,4914,0
Italy,Ghana,,Total population of concern,9235,0
Italy,Grenada,,Total Refugee and people in refugee-like situations,0,0
Italy,Grenada,,Total population of concern,0,0
Italy,Guatemala,,Total Refugee and people in refugee-like situations,6,0
Italy,Guatemala,,Asylum-seekers,0,0
Italy,Guatemala,,Total population of concern,9,0
Italy,Guinea,,Total Refugee and people in refugee-like situations,2806,0
Italy,Guinea,,Asylum-seekers,7182,0
Italy,Guinea,,Total population of concern,9988,0
Italy,Guinea-Bissau,,Total Refugee and people in refugee-like situations,618,0
Italy,Guinea-Bissau,,Asylum-seekers,839,0
Italy,Guinea-Bissau,,Total population of concern,1457,0
Italy,Haiti,,Total Refugee and people in refugee-like situations,9,0
Italy,Haiti,,Asylum-seekers,0,0
Italy,Haiti,,Total population of concern,10,0
Italy,Honduras,,Total Refugee and people in refugee-like situations,21,0
Italy,Honduras,,Asylum-seekers,74,0
Italy,Honduras,,Total population of concern,95,0
Italy,India,,Total Refugee and people in refugee-like situations,169,0
Italy,India,,Asylum-seekers,595,0
Italy,India,,Total population of concern,764,0
Italy,Indonesia,,Asylum-seekers,0,0
Italy,Indonesia,,Total population of concern,0,0
Italy,Iran (Islamic Rep. of),,Total Refugee and people in refugee-like situations,1800,0
Italy,Iran (Islamic Rep. of),,Asylum-seekers,298,0
Italy,Iran (Islamic Rep. of),,Total population of concern,2098,0
Italy,Iraq,,Total Refugee and people in refugee-like situations,4722,0
Italy,Iraq,,Asylum-seekers,1546,0
Italy,Iraq,,Total population of concern,6268,0
Italy,Israel,,Total Refugee and people in refugee-like situations,5,0
Italy,Israel,,Asylum-seekers,0,0
Italy,Israel,,Total population of concern,7,0
Italy,Jamaica,,Total Refugee and people in refugee-like situations,0,0
Italy,Jamaica,,Asylum-seekers,0,0
Italy,Jamaica,,Total population of concern,0,0
Italy,Japan,,Total Refugee and people in refugee-like situations,0,0
Italy,Japan,,Total population of concern,0,0
Italy,Jordan,,Total Refugee and people in refugee-like situations,27,0
Italy,Jordan,,Asylum-seekers,9,0
Italy,Jordan,,Total population of concern,36,0
Italy,Kazakhstan,,Total Refugee and people in refugee-like situations,6,0
Italy,Kazakhstan,,Asylum-seekers,5,0
Italy,Kazakhstan,,Total population of concern,11,0
Italy,Kenya,,Total Refugee and people in refugee-like situations,135,0
Italy,Kenya,,Asylum-seekers,17,0
Italy,Kenya,,Total population of concern,152,0
Italy,Kuwait,,Total Refugee and people in refugee-like situations,5,0
Italy,Kuwait,,Asylum-seekers,0,0
Italy,Kuwait,,Total population of concern,6,0
Italy,Kyrgyzstan,,Total Refugee and people in refugee-like situations,16,0
Italy,Kyrgyzstan,,Asylum-seekers,37,0
Italy,Kyrgyzstan,,Total population of concern,53,0
Italy,Lebanon,,Total Refugee and people in refugee-like situations,327,0
Italy,Lebanon,,Asylum-seekers,81,0
Italy,Lebanon,,Total population of concern,408,0
Italy,Lesotho,,Total Refugee and people in refugee-like situations,0,0
Italy,Lesotho,,Asylum-seekers,0,0
Italy,Lesotho,,Total population of concern,0,0
Italy,Liberia,,Total Refugee and people in refugee-like situations,501,0
Italy,Liberia,,Asylum-seekers,327,0
Italy,Liberia,,Total population of concern,828,0
Italy,Libya,,Total Refugee and people in refugee-like situations,696,0
Italy,Libya,,Asylum-seekers,348,0
Italy,Libya,,Total population of concern,1044,0
Italy,Madagascar,,Total Refugee and people in refugee-like situations,18,0
Italy,Madagascar,,Asylum-seekers,0,0
Italy,Madagascar,,Total population of concern,20,0
Italy,Malawi,,Total Refugee and people in refugee-like situations,0,0
Italy,Malawi,,Asylum-seekers,0,0
Italy,Malawi,,Total population of concern,5,0
Italy,Malaysia,,Total Refugee and people in refugee-like situations,0,0
Italy,Malaysia,,Asylum-seekers,0,0
Italy,Malaysia,,Total population of concern,0,0
Italy,Mali,,Total Refugee and people in refugee-like situations,12331,0
Italy,Mali,,Asylum-seekers,7014,0
Italy,Mali,,Total population of concern,19345,0
Italy,Mauritania,,Total Refugee and people in refugee-like situations,340,0
Italy,Mauritania,,Asylum-seekers,64,0
Italy,Mauritania,,Total population of concern,404,0
Italy,Mauritius,,Total Refugee and people in refugee-like situations,15,0
Italy,Mauritius,,Asylum-seekers,0,0
Italy,Mauritius,,Total population of concern,18,0
Italy,Mexico,,Total Refugee and people in refugee-like situations,5,0
Italy,Mexico,,Asylum-seekers,0,0
Italy,Mexico,,Total population of concern,5,0
Italy,Mongolia,,Total Refugee and people in refugee-like situations,5,0
Italy,Mongolia,,Total population of concern,5,0
Italy,Montenegro,,Total Refugee and people in refugee-like situations,76,0
Italy,Montenegro,,Asylum-seekers,16,0
Italy,Montenegro,,Total population of concern,92,0
Italy,Morocco,,Total Refugee and people in refugee-like situations,600,0
Italy,Morocco,,Asylum-seekers,1603,0
Italy,Morocco,,Total population of concern,2203,0
Italy,Mozambique,,Total Refugee and people in refugee-like situations,0,0
Italy,Mozambique,,Total population of concern,0,0
Italy,Myanmar,,Total Refugee and people in refugee-like situations,34,0
Italy,Myanmar,,Asylum-seekers,5,0
Italy,Myanmar,,Total population of concern,39,0
Italy,Namibia,,Total Refugee and people in refugee-like situations,0,0
Italy,Namibia,,Asylum-seekers,0,0
Italy,Namibia,,Total population of concern,5,0
Italy,Nepal,,Total Refugee and people in refugee-like situations,89,0
Italy,Nepal,,Asylum-seekers,79,0
Italy,Nepal,,Total population of concern,168,0
Italy,Nicaragua,,Total Refugee and people in refugee-like situations,13,0
Italy,Nicaragua,,Asylum-seekers,7,0
Italy,Nicaragua,,Total population of concern,20,0
Italy,Niger,,Total Refugee and people in refugee-like situations,392,0
Italy,Niger,,Asylum-seekers,396,0
Italy,Niger,,Total population of concern,788,0
Italy,Nigeria,,Total Refugee and people in refugee-like situations,16101,0
Italy,Nigeria,,Asylum-seekers,29879,0
Italy,Nigeria,,Total population of concern,45980,0
Italy,Norway,,Asylum-seekers,0,0
Italy,Norway,,Total population of concern,0,0
Italy,Pakistan,,Total Refugee and people in refugee-like situations,14872,0
Italy,Pakistan,,Asylum-seekers,12291,0
Italy,Pakistan,,Total population of concern,27163,0
Italy,Palau,,Total Refugee and people in refugee-like situations,0,0
Italy,Palau,,Asylum-seekers,0,0
Italy,Palau,,Total population of concern,0,0
Italy,Palestinian,,Total Refugee and people in refugee-like situations,910,0
Italy,Palestinian,,Asylum-seekers,259,0
Italy,Palestinian,,Total population of concern,1169,0
Italy,Panama,,Asylum-seekers,0,0
Italy,Panama,,Total population of concern,0,0
Italy,Paraguay,,Total Refugee and people in refugee-like situations,0,0
Italy,Paraguay,,Asylum-seekers,0,0
Italy,Paraguay,,Total population of concern,5,0
Italy,Peru,,Total Refugee and people in refugee-like situations,60,0
Italy,Peru,,Asylum-seekers,76,0
Italy,Peru,,Total population of concern,136,0
Italy,Philippines,,Total Refugee and people in refugee-like situations,19,0
Italy,Philippines,,Asylum-seekers,124,0
Italy,Philippines,,Total population of concern,143,0
Italy,Rep. of Korea,,Total Refugee and people in refugee-like situations,0,0
Italy,Rep. of Korea,,Asylum-seekers,0,0
Italy,Rep. of Korea,,Total population of concern,0,0
Italy,Rep. of Moldova,,Total Refugee and people in refugee-like situations,111,0
Italy,Rep. of Moldova,,Asylum-seekers,44,0
Italy,Rep. of Moldova,,Total population of concern,155,0
Italy,Russian Federation,,Total Refugee and people in refugee-like situations,189,0
Italy,Russian Federation,,Asylum-seekers,108,0
Italy,Russian Federation,,Total population of concern,297,0
Italy,Rwanda,,Total Refugee and people in refugee-like situations,13,0
Italy,Rwanda,,Asylum-seekers,8,0
Italy,Rwanda,,Total population of concern,21,0
Italy,San Marino,,Total Refugee and people in refugee-like situations,0,0
Italy,San Marino,,Total population of concern,0,0
Italy,Saudi Arabia,,Total Refugee and people in refugee-like situations,6,0
Italy,Saudi Arabia,,Asylum-seekers,0,0
Italy,Saudi Arabia,,Total population of concern,9,0
Italy,Senegal,,Total Refugee and people in refugee-like situations,5433,0
Italy,Senegal,,Asylum-seekers,8447,0
Italy,Senegal,,Total population of concern,13880,0
Italy,Serbia and Kosovo: S/RES/1244 (1999),,Total Refugee and people in refugee-like situations,2012,0
Italy,Serbia and Kosovo: S/RES/1244 (1999),,Asylum-seekers,667,0
Italy,Serbia and Kosovo: S/RES/1244 (1999),,Total population of concern,2679,0
Italy,Sierra Leone,,Total Refugee and people in refugee-like situations,504,0
Italy,Sierra Leone,,Asylum-seekers,959,0
Italy,Sierra Leone,,Total population of concern,1463,0
Italy,Somalia,,Total Refugee and people in refugee-like situations,15036,0
Italy,Somalia,,Asylum-seekers,1795,0
Italy,Somalia,,Total population of concern,16831,0
Italy,South Africa,,Total Refugee and people in refugee-like situations,0,0
Italy,South Africa,,Asylum-seekers,0,0
Italy,South Africa,,Total population of concern,6,0
Italy,South Sudan,,Total Refugee and people in refugee-like situations,61,0
Italy,South Sudan,,Asylum-seekers,10,0
Italy,South Sudan,,Total population of concern,71,0
Italy,Sri Lanka,,Total Refugee and people in refugee-like situations,633,0
Italy,Sri Lanka,,Asylum-seekers,231,0
Italy,Sri Lanka,,Total population of concern,864,0
Italy,Stateless,,Total Refugee and people in refugee-like situations,18,0
Italy,Stateless,,Asylum-seekers,16,0
Italy,Stateless,,Persons under UNHCR's statelessness mandate,715,0
Italy,Stateless,,Total population of concern,749,0
Italy,Sudan,,Total Refugee and people in refugee-like situations,1842,0
Italy,Sudan,,Asylum-seekers,441,0
Italy,Sudan,,Total population of concern,2283,0
Italy,Swaziland,,Total Refugee and people in refugee-like situations,8,0
Italy,Swaziland,,Total population of concern,8,0
Italy,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,3466,0
Italy,Syrian Arab Rep.,,Asylum-seekers,892,0
Italy,Syrian Arab Rep.,,Total population of concern,4358,0
Italy,Tajikistan,,Total Refugee and people in refugee-like situations,8,0
Italy,Tajikistan,,Asylum-seekers,0,0
Italy,Tajikistan,,Total population of concern,9,0
Italy,Thailand,,Total Refugee and people in refugee-like situations,0,0
Italy,Thailand,,Asylum-seekers,0,0
Italy,Thailand,,Total population of concern,0,0
Italy,The former Yugoslav Republic of Macedonia,,Total Refugee and people in refugee-like situations,122,0
Italy,The former Yugoslav Republic of Macedonia,,Asylum-seekers,58,0
Italy,The former Yugoslav Republic of Macedonia,,Total population of concern,180,0
Italy,Timor-Leste,,Total Refugee and people in refugee-like situations,0,0
Italy,Timor-Leste,,Total population of concern,0,0
Italy,Togo,,Total Refugee and people in refugee-like situations,1021,0
Italy,Togo,,Asylum-seekers,743,0
Italy,Togo,,Total population of concern,1764,0
Italy,Tonga,,Asylum-seekers,0,0
Italy,Tonga,,Total population of concern,0,0
Italy,Tunisia,,Total Refugee and people in refugee-like situations,575,0
Italy,Tunisia,,Asylum-seekers,378,0
Italy,Tunisia,,Total population of concern,953,0
Italy,Turkey,,Total Refugee and people in refugee-like situations,2547,0
Italy,Turkey,,Asylum-seekers,413,0
Italy,Turkey,,Total population of concern,2960,0
Italy,Turkmenistan,,Total Refugee and people in refugee-like situations,0,0
Italy,Turkmenistan,,Total population of concern,0,0
Italy,Uganda,,Total Refugee and people in refugee-like situations,65,0
Italy,Uganda,,Asylum-seekers,16,0
Italy,Uganda,,Total population of concern,81,0
Italy,Ukraine,,Total Refugee and people in refugee-like situations,4422,0
Italy,Ukraine,,Asylum-seekers,2958,0
Italy,Ukraine,,Total population of concern,7380,0
Italy,United Rep. of Tanzania,,Total Refugee and people in refugee-like situations,25,0
Italy,United Rep. of Tanzania,,Asylum-seekers,10,0
Italy,United Rep. of Tanzania,,Total population of concern,35,0
Italy,United States of America,,Total Refugee and people in refugee-like situations,0,0
Italy,United States of America,,Asylum-seekers,0,0
Italy,United States of America,,Total population of concern,7,0
Italy,Uruguay,,Total Refugee and people in refugee-like situations,0,0
Italy,Uruguay,,Total population of concern,0,0
Italy,Uzbekistan,,Total Refugee and people in refugee-like situations,7,0
Italy,Uzbekistan,,Asylum-seekers,9,0
Italy,Uzbekistan,,Total population of concern,16,0
Italy,Various,,Total Refugee and people in refugee-like situations,1326,0
Italy,Various,,Asylum-seekers,149,0
Italy,Various,,Total population of concern,1475,0
Italy,Venezuela (Bolivarian Republic of),,Total Refugee and people in refugee-like situations,104,0
Italy,Venezuela (Bolivarian Republic of),,Asylum-seekers,228,0
Italy,Venezuela (Bolivarian Republic of),,Total population of concern,332,0
Italy,Viet Nam,,Total Refugee and people in refugee-like situations,7,0
Italy,Viet Nam,,Asylum-seekers,6,0
Italy,Viet Nam,,Total population of concern,13,0
Italy,Western Sahara,,Total Refugee and people in refugee-like situations,5,0
Italy,Western Sahara,,Asylum-seekers,0,0
Italy,Western Sahara,,Total population of concern,5,0
Italy,Yemen,,Total Refugee and people in refugee-like situations,102,0
Italy,Yemen,,Asylum-seekers,23,0
Italy,Yemen,,Total population of concern,125,0
Italy,Zambia,,Asylum-seekers,0,0
Italy,Zambia,,Total population of concern,0,0
Italy,Zimbabwe,,Total Refugee and people in refugee-like situations,27,0
Italy,Zimbabwe,,Asylum-seekers,5,0
Italy,Zimbabwe,,Total population of concern,32,0
Jamaica,Bangladesh,,Asylum-seekers,0,0
Jamaica,Bangladesh,,Total population of concern,0,0
Jamaica,Cuba,,Total Refugee and people in refugee-like situations,0,0
Jamaica,Cuba,,Asylum-seekers,8,8
Jamaica,Cuba,,Total population of concern,9,9
Jamaica,Haiti,,Total Refugee and people in refugee-like situations,8,8
Jamaica,Haiti,,Total population of concern,8,8
Jamaica,Jordan,,Total Refugee and people in refugee-like situations,0,0
Jamaica,Jordan,,Total population of concern,0,0
Jamaica,Sierra Leone,,Total Refugee and people in refugee-like situations,0,0
Jamaica,Sierra Leone,,Total population of concern,0,0
Jamaica,Syrian Arab Rep.,,Total Refugee and people in refugee-like situations,0,0
Jamaica,Syrian Arab Rep.,,Total population of concern,0,0
Japan,Afghanistan,,Total Refugee and people in refugee-like situations,49,16
Japan,Afghanistan,,Asylum-seekers,18,0
Japan,Afghanistan,,Total population of concern,67,16
Japan,Algeria,,Asylum-seekers,0,0
Japan,Algeria,,Total population of concern,0,0
Japan,Angola,,Asylum-seekers,7,0
Japan,Angola,,Total population of concern,7,0
Japan,Argentina,,Asylum-seekers,0,0
Japan,Argentina,,Total population of concern,0,0
